0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
02/01/2022 00:00:00,715963,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715964,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715966,7,5,S,OR,,114,100,16.0,0.0016,,,,,,,,16.0,0.0016,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715967,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715968,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715969,7,5,N,OR,,114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715970,7,5,N,OR,,114,100,48.0,0.0043,,,,,,,,48.0,0.0043,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715971,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715972,7,210,E,OR,,114,100,23.0,0.002,,,,,,,,23.0,0.002,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715973,7,5,S,OR,,114,100,33.0,0.0065,,,,,,,,33.0,0.0065,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715974,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715975,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715976,7,5,N,OR,,114,100,17.0,0.0015,,,,,,,,17.0,0.0015,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715977,7,5,N,OR,,114,100,31.0,0.004,,,,,,,,31.0,0.004,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715978,7,5,S,OR,,113,100,48.0,0.0058,,,,,,,,48.0,0.0058,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715979,7,5,S,OR,,114,100,25.0,0.0043,,,,,,,,25.0,0.0043,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715980,7,5,N,OR,,114,100,24.0,0.0042,,,,,,,,24.0,0.0042,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715981,7,5,N,OR,,112,100,39.0,0.0037,,,,,,,,39.0,0.0037,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715982,7,5,N,OR,,114,100,37.0,0.0057,,,,,,,,37.0,0.0057,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715983,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715984,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715985,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715986,7,5,S,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715987,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 00:00:00,715988,7,5,N,OR,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
