Time,P_Value,Effect_Size,Pct_Diff_Mean
8am,0.017384417897964695,-0.025994649897748103,5.416630979020178
9am,0.0014875958138407727,-0.034722840827101295,7.009480282791609
10am,0.00392969880519805,-0.03151875264287796,5.474069261829602
3pm,0.03928150129508366,-0.022526049208754718,3.7399433727029834
5pm,0.005427519785490096,-0.030390250944841605,4.385471226575672
6pm,2.7325949260262897e-4,-0.039777982735748854,6.730913273070101
7pm,0.0027416863571495557,-0.03273804097798943,5.956012336805644
8pm,0.018147981345162132,-0.025819444162972428,3.973463443828881
9pm,0.0024927023478602773,-0.033054116807960686,4.398532581674582
