SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,3,5,13,177,Georgia,Lee County,33164,33222,33209,33678,33872,58,-13,469,194,93,298,318,315,85,301,316,299,8,-3,2,16,0,4,26,26,39,-22,445,154,39,-18,471,180,11,8,-4,-2,975,975,739,961,988,8.9717150126,9.5085741624,9.3264248705,9.0620342912,9.4487718092,8.8527017024,-0.090319279,0.0598023532,0.473723168,0.1204257049,0.7774305919,0.769800148,-0.662341377,13.306023592,4.5595854922,-0.541915672,14.083454184,5.3293856403
050,3,5,13,179,Georgia,Liberty County,65271,65317,66800,67919,69210,46,1483,1119,1291,336,1285,1356,1382,99,551,575,518,237,734,781,864,11,-8,148,175,-216,789,195,251,-205,781,343,426,14,-32,-5,1,3141,3138,4358,4364,4433,19.452455021,20.130790757,20.156203283,8.3410916082,8.5362866411,7.5549300294,11.111363413,11.594504116,12.601273254,-0.121104778,2.1971659528,2.5523412261,11.943958764,2.8949146,3.6607865586,11.822853985,5.0920805529,6.2131277848
050,3,5,13,181,Georgia,Lincoln County,7689,7702,7749,7859,7879,13,47,110,20,13,75,85,87,24,126,120,113,-11,-51,-35,-26,0,0,3,3,27,99,141,43,27,99,144,46,-3,-1,1,0,67,67,67,42,26,9.7081095075,10.891850333,11.056042699,16.309623973,15.376729882,14.360147414,-6.601514465,-4.484879549,-3.304104715,0,0.3844182471,0.3812428517,12.81470455,18.067657611,5.4644808743,12.81470455,18.452075859,5.845723726
050,3,5,13,183,Georgia,Long County,16158,16270,17108,18395,19594,112,838,1287,1199,60,280,298,278,35,139,153,145,25,141,145,133,2,-3,9,12,88,729,1074,1055,90,726,1083,1067,-3,-29,59,-1,323,323,253,295,300,16.777518126,16.787313748,14.635815631,8.3288393553,8.6189899445,7.6337887283,8.4486787704,8.1683238036,7.0020269025,-0.179759123,0.5069994085,0.6317618258,43.681466834,60.501929414,55.542393851,43.501707712,61.008928823,56.174155677
050,3,5,13,185,Georgia,Lowndes County,118247,118416,118916,119499,120712,169,500,583,1213,364,1598,1573,1618,237,1211,1207,1088,127,387,366,530,4,13,73,97,-2,13,212,579,2,26,285,676,40,87,-68,7,5455,5444,4966,4838,4791,13.466367789,13.195478472,13.471489649,10.205113512,10.125201854,9.0587025573,3.2612542767,3.0702766185,4.4127870913,0.1095511773,0.6123775769,0.8076232979,0.1095511773,1.7784115932,4.820761747,0.2191023545,2.3907891701,5.6283850448
050,3,5,13,187,Georgia,Lumpkin County,33488,33641,32843,34706,35258,153,-798,1863,552,74,288,333,324,61,425,420,373,13,-137,-87,-49,1,48,77,74,145,-644,1721,526,146,-596,1798,600,-6,-65,152,1,4048,4044,2587,3872,3924,8.6637386439,9.8595093932,9.2619061231,12.785030985,12.435417253,10.662626494,-4.121292341,-2.575907859,-1.40072037,1.4439564406,2.2798264963,2.1153736207,-19.37308225,50.9556026,15.036304385,-17.9291258,53.235429096,17.151678006
050,3,5,13,189,Georgia,McDuffie County,21628,21607,21619,21690,21799,-21,12,71,109,74,238,266,265,70,315,314,298,4,-77,-48,-33,0,-6,-6,-6,-28,84,125,147,-28,78,119,141,3,11,0,1,132,132,126,216,198,11.011890992,12.283820915,12.186989814,14.574561606,14.500450253,13.70461496,-3.562670615,-2.216629338,-1.517625147,-0.277610697,-0.277078667,-0.275931845,3.8865497617,5.7724722344,6.7603301984,3.6089390645,5.4953935672,6.4843983536
050,3,5,13,191,Georgia,McIntosh County,10973,10985,11054,11183,11501,12,69,129,318,20,95,89,96,35,208,211,193,-15,-113,-122,-97,0,1,1,1,30,186,242,415,30,187,243,416,-3,-5,8,-1,55,55,1,55,55,8.6210808113,8.0046768899,8.4641156762,18.875629566,18.977380042,17.016399224,-10.25454875,-10.97270315,-8.552283548,0.0907482191,0.0899401898,0.0881678716,16.879168746,21.765525925,36.589666725,16.969916965,21.855466115,36.677834597
050,3,5,13,193,Georgia,Macon County,12080,12021,11852,11777,11817,-59,-169,-75,40,34,125,123,124,57,167,180,175,-23,-42,-57,-51,0,0,1,9,-35,-127,-12,83,-35,-127,-11,92,-1,0,-7,-1,1881,1881,1737,1798,2009,10.472081431,10.410935715,10.511146902,13.990700792,15.23551568,14.834279902,-3.518619361,-4.824579965,-4.323133,0,0.0846417538,0.7629058235,-10.63963473,-1.015701045,7.0356870391,-10.63963473,-0.931059292,7.7985928626
050,3,5,13,195,Georgia,Madison County,30128,30276,30887,31450,32191,148,611,563,741,85,366,401,403,74,380,403,382,11,-14,-2,21,0,6,-2,-1,142,633,549,721,142,639,547,720,-5,-14,18,0,144,144,144,144,144,11.968019881,12.865553363,12.664791565,12.425812992,12.929720712,12.004839647,-0.45779311,-0.064167348,0.6599519178,0.1961970472,-0.064167348,-0.031426282,20.698788483,17.613937148,22.658349177,20.89498553,17.5497698,22.626922896
050,3,5,13,197,Georgia,Marion County,7505,7530,7434,7436,7440,25,-96,2,4,14,75,65,71,20,124,128,122,-6,-49,-63,-51,0,7,13,15,34,-55,58,40,34,-48,71,55,-3,1,-6,0,92,92,92,76,76,10.024057739,8.7424344317,9.5455767679,16.573108794,17.215870881,16.402258672,-6.549051056,-8.473436449,-6.856681904,0.9355787223,1.7484868863,2.0166711482,-7.350975675,7.8009414929,5.3777897284,-6.415396953,9.5494283793,7.3944608766
050,3,5,13,199,Georgia,Meriwether County,20620,20617,20725,20890,20931,-3,108,165,41,64,249,259,241,89,401,364,327,-25,-152,-105,-86,0,0,0,0,23,266,263,126,23,266,263,126,-1,-6,7,1,91,76,76,64,70,12.045861352,12.447434819,11.525310251,19.399158241,17.493692178,15.638076564,-7.353296889,-5.046257359,-4.112766314,0,0,0,12.868269556,12.639673195,6.025680878,12.868269556,12.639673195,6.025680878
050,3,5,13,201,Georgia,Miller County,6000,5992,5853,5774,5747,-8,-139,-79,-27,19,47,56,56,24,133,120,114,-5,-86,-64,-58,0,0,-1,-1,-5,-49,-11,35,-5,-49,-12,34,2,-4,-3,-3,171,171,155,174,156,7.9358379063,9.6327513546,9.7213783526,22.456732799,20.641610046,19.789948789,-14.52089489,-11.00885869,-10.06857044,0,-0.172013417,-0.173596042,-8.273533136,-1.892147588,6.0758614704,-8.273533136,-2.064161005,5.9022654283
050,3,5,13,205,Georgia,Mitchell County,21763,21671,21318,21192,21114,-92,-353,-126,-78,50,264,234,234,97,310,298,282,-47,-46,-64,-48,0,-1,-3,-3,-47,-296,-53,-24,-47,-297,-56,-27,2,-10,-6,-3,1686,1686,1438,1404,1319,12.282211729,11.009174312,11.062260672,14.422294075,14.020230534,13.331442349,-2.140082347,-3.011056222,-2.269181676,-0.046523529,-0.14114326,-0.141823855,-13.77096467,-2.493530934,-1.134590838,-13.81748819,-2.634674194,-1.276414693
