"X","tournament_id","team_id","team_name","group_name","played","wins","draws","losses","goals_for","goals_against","goal_difference","points","advanced","confederation_code","region_name","year","prior_tournaments","squad_size","avg_age","forward_share","defender_share","avg_career_tournaments","avg_prior_wc","max_prior_wc","debutant_share","yellows","reds","total_cards","is_host","foreign_manager"
30,"WC-1958","T-86","West Germany","Group 1",3,1,2,0,7,5,2,4,1,"UEFA","Europe",1958,1,22,27.4090909090909,0.318181818181818,0.272727272727273,1.81818181818182,0.318181818181818,1,0.681818181818182,0,0,0,0,1
31,"WC-1958","T-52","Northern Ireland","Group 1",3,1,1,1,4,5,-1,3,1,"UEFA","Europe",1958,0,22,27.1363636363636,0.5,0.227272727272727,1,0,0,1,0,0,0,0,0
32,"WC-1958","T-21","Czechoslovakia","Group 1",3,1,1,1,8,4,4,3,0,"UEFA","Europe",1958,1,22,25.5454545454545,0.409090909090909,0.272727272727273,1.77272727272727,0.363636363636364,1,0.636363636363636,0,0,0,0,0
33,"WC-1958","T-03","Argentina","Group 1",3,1,0,2,5,10,-5,2,0,"CONMEBOL","South America",1958,1,22,28.1818181818182,0.454545454545455,0.363636363636364,1.18181818181818,0,0,1,0,0,0,0,0
34,"WC-1958","T-30","France","Group 2",3,2,0,1,11,7,4,4,1,"UEFA","Europe",1958,2,22,28.0454545454545,0.272727272727273,0.227272727272727,1.40909090909091,0.409090909090909,1,0.590909090909091,0,0,0,0,0
35,"WC-1958","T-87","Yugoslavia","Group 2",3,1,2,0,7,6,1,4,1,"UEFA","Europe",1958,3,22,26,0.318181818181818,0.318181818181818,1.59090909090909,0.363636363636364,2,0.681818181818182,0,0,0,0,0
36,"WC-1958","T-55","Paraguay","Group 2",3,1,1,1,9,12,-3,3,0,"CONMEBOL","South America",1958,2,22,23.95,0.5,0.272727272727273,1,0,0,1,0,0,0,0,0
37,"WC-1958","T-64","Scotland","Group 2",3,0,1,2,4,6,-2,1,0,"UEFA","Europe",1958,1,22,25.7272727272727,0.454545454545455,0.272727272727273,1.18181818181818,0.181818181818182,1,0.818181818181818,0,0,0,0,0
38,"WC-1958","T-74","Sweden","Group 3",3,2,1,0,5,1,4,5,1,"UEFA","Europe",1958,1,22,29.5,0.318181818181818,0.227272727272727,1.18181818181818,0.181818181818182,1,0.818181818181818,0,0,0,1,1
39,"WC-1958","T-85","Wales","Group 3",3,0,3,0,2,2,0,3,1,"UEFA","Europe",1958,0,22,25.3636363636364,0.363636363636364,0.227272727272727,1,0,0,1,0,0,0,0,0
