"row_id","campaign","tournament_id","team_id","team_name","group_name","played","wins","draws","losses","goals_for","goals_against","goal_difference","points_raw","advanced","confederation_code","region_name","year","prior_tournaments","squad_size","avg_age","forward_share","defender_share","avg_career_tournaments","avg_prior_wc","max_prior_wc","debutant_share","yellows","reds","total_cards","is_host","foreign_manager","points_std","conf","year_c"
24,"Zaire 1974","WC-1974","T-88","Zaire","Group 2",3,0,0,3,0,14,-14,0,0,"CAF","Africa",1974,0,22,26.0454545454545,0.227272727272727,0.272727272727273,1,0,0,1,2,1,3,0,1,0,"CAF",-5
25,"Netherlands 1974","WC-1974","T-48","Netherlands","Group 3",3,2,1,0,6,1,5,5,1,"UEFA","Europe",1974,0,22,27.2272727272727,0.136363636363636,0.363636363636364,1.54545454545455,0,0,1,4,0,4,0,0,7,"UEFA",-5
26,"Sweden 1974","WC-1974","T-74","Sweden","Group 3",3,1,2,0,3,0,3,4,1,"UEFA","Europe",1974,3,22,27.9545454545455,0.136363636363636,0.272727272727273,1.81818181818182,0.454545454545455,1,0.545454545454545,4,0,4,0,0,5,"UEFA",-5
27,"Bulgaria 1974","WC-1974","T-10","Bulgaria","Group 3",3,0,2,1,2,5,-3,2,0,"UEFA","Europe",1974,3,22,26.0909090909091,0.318181818181818,0.272727272727273,1.5,0.5,3,0.681818181818182,3,0,3,0,0,2,"UEFA",-5
28,"Uruguay 1974","WC-1974","T-84","Uruguay","Group 3",3,0,1,2,1,6,-5,1,0,"CONMEBOL","South America",1974,6,22,26.8181818181818,0.227272727272727,0.363636363636364,1.54545454545455,0.545454545454545,3,0.681818181818182,5,1,6,0,0,1,"CONMEBOL",-5
29,"Poland 1974","WC-1974","T-57","Poland","Group 4",3,3,0,0,12,3,9,6,1,"UEFA","Europe",1974,0,22,24.7727272727273,0.363636363636364,0.272727272727273,1.63636363636364,0,0,1,2,0,2,0,0,9,"UEFA",-5
30,"Argentina 1974","WC-1974","T-03","Argentina","Group 4",3,1,1,1,7,5,2,3,1,"CONMEBOL","South America",1974,4,22,26.7727272727273,0.227272727272727,0.318181818181818,1.27272727272727,0.0454545454545455,1,0.954545454545455,5,0,5,0,0,4,"CONMEBOL",-5
31,"Italy 1974","WC-1974","T-41","Italy","Group 4",3,1,1,1,5,4,1,3,0,"UEFA","Europe",1974,5,22,28.8636363636364,0.227272727272727,0.318181818181818,2.09090909090909,0.772727272727273,3,0.590909090909091,2,0,2,0,0,4,"UEFA",-5
32,"Haiti 1974","WC-1974","T-34","Haiti","Group 4",3,0,0,3,2,14,-12,0,0,"CONCACAF","Caribbean",1974,0,22,26.2272727272727,0.227272727272727,0.363636363636364,1,0,0,1,3,0,3,0,0,0,"CONCACAF",-5
33,"Italy 1978","WC-1978","T-41","Italy","Group 1",3,3,0,0,6,2,4,6,1,"UEFA","Europe",1978,6,22,26.5454545454545,0.181818181818182,0.318181818181818,1.90909090909091,0.272727272727273,2,0.772727272727273,2,0,2,0,0,9,"UEFA",-4
34,"Argentina 1978","WC-1978","T-03","Argentina","Group 1",3,2,0,1,4,3,1,4,1,"CONMEBOL","South America",1978,5,22,26.2727272727273,0.227272727272727,0.272727272727273,1.68181818181818,0.136363636363636,1,0.863636363636364,1,0,1,1,0,6,"CONMEBOL",-4
35,"France 1978","WC-1978","T-30","France","Group 1",3,1,0,2,5,5,0,2,0,"UEFA","Europe",1978,4,22,26.4545454545455,0.181818181818182,0.318181818181818,1.63636363636364,0,0,1,3,0,3,0,0,3,"UEFA",-4
36,"Hungary 1978","WC-1978","T-36","Hungary","Group 1",3,0,0,3,3,8,-5,0,0,"UEFA","Europe",1978,4,22,27.0454545454545,0.272727272727273,0.272727272727273,1.40909090909091,0,0,1,4,2,6,0,0,0,"UEFA",-4
37,"Poland 1978","WC-1978","T-57","Poland","Group 2",3,2,1,0,4,1,3,5,1,"UEFA","Europe",1978,1,22,26.3181818181818,0.227272727272727,0.363636363636364,1.90909090909091,0.409090909090909,1,0.590909090909091,0,0,0,0,0,7,"UEFA",-4
38,"West Germany 1978","WC-1978","T-86","West Germany","Group 2",3,1,2,0,6,0,6,4,1,"UEFA","Europe",1978,6,22,27.4545454545455,0.318181818181818,0.227272727272727,1.68181818181818,0.454545454545455,3,0.681818181818182,2,0,2,0,1,5,"UEFA",-4
39,"Tunisia 1978","WC-1978","T-79","Tunisia","Group 2",3,1,1,1,3,2,1,3,0,"CAF","Africa",1978,0,22,25.8181818181818,0.363636363636364,0.272727272727273,1,0,0,1,1,0,1,0,0,4,"CAF",-4
40,"Mexico 1978","WC-1978","T-46","Mexico","Group 2",3,0,0,3,2,12,-10,0,0,"CONCACAF","North America",1978,7,22,24.4545454545455,0.272727272727273,0.363636363636364,1.13636363636364,0,0,1,1,0,1,0,0,0,"CONCACAF",-4
41,"Austria 1978","WC-1978","T-05","Austria","Group 3",3,2,0,1,3,2,1,4,1,"UEFA","Europe",1978,2,22,26.7272727272727,0.227272727272727,0.318181818181818,1.45454545454545,0,0,1,0,0,0,0,0,6,"UEFA",-4
42,"Brazil 1978","WC-1978","T-09","Brazil","Group 3",3,1,2,0,2,1,1,4,1,"CONMEBOL","South America",1978,8,22,25.5,0.272727272727273,0.363636363636364,1.95454545454545,0.318181818181818,2,0.772727272727273,1,0,1,0,0,5,"CONMEBOL",-4
43,"Spain 1978","WC-1978","T-73","Spain","Group 3",3,1,1,1,2,2,0,3,0,"UEFA","Europe",1978,3,22,27.3636363636364,0.272727272727273,0.363636363636364,1.36363636363636,0.0454545454545455,1,0.954545454545455,1,0,1,0,0,4,"UEFA",-4
44,"Sweden 1978","WC-1978","T-74","Sweden","Group 3",3,0,1,2,1,3,-2,1,0,"UEFA","Europe",1978,4,22,27.4090909090909,0.318181818181818,0.272727272727273,1.5,0.5,2,0.636363636363636,2,0,2,0,0,1,"UEFA",-4
45,"Peru 1978","WC-1978","T-56","Peru","Group 4",3,2,1,0,7,2,5,5,1,"CONMEBOL","South America",1978,2,22,27.0909090909091,0.227272727272727,0.272727272727273,1.59090909090909,0.136363636363636,1,0.863636363636364,1,0,1,0,0,7,"CONMEBOL",-4
46,"Netherlands 1978","WC-1978","T-48","Netherlands","Group 4",3,1,1,1,5,3,2,3,1,"UEFA","Europe",1978,1,22,28.4090909090909,0.181818181818182,0.363636363636364,1.54545454545455,0.545454545454545,1,0.454545454545455,1,0,1,0,1,4,"UEFA",-4
47,"Scotland 1978","WC-1978","T-64","Scotland","Group 4",3,1,1,1,5,6,-1,3,0,"UEFA","Europe",1978,3,22,28,0.272727272727273,0.318181818181818,1.63636363636364,0.272727272727273,1,0.727272727272727,1,0,1,0,0,4,"UEFA",-4
48,"Iran 1978","WC-1978","T-38","Iran","Group 4",3,0,1,2,2,8,-6,1,0,"AFC","Middle East",1978,0,22,25.6363636363636,0.318181818181818,0.272727272727273,1,0,0,1,0,0,0,0,0,1,"AFC",-4
49,"Poland 1982","WC-1982","T-57","Poland","Group 1",3,1,2,0,5,1,4,4,1,"UEFA","Europe",1982,2,22,26,0.318181818181818,0.363636363636364,2,0.545454545454545,2,0.636363636363636,2,0,2,0,0,5,"UEFA",-3
50,"Italy 1982","WC-1982","T-41","Italy","Group 1",3,0,3,0,2,2,0,3,1,"UEFA","Europe",1982,7,22,27.3181818181818,0.227272727272727,0.318181818181818,2.31818181818182,0.590909090909091,3,0.545454545454545,4,0,4,0,0,3,"UEFA",-3
51,"Cameroon 1982","WC-1982","T-11","Cameroon","Group 1",3,0,3,0,1,1,0,3,0,"CAF","Africa",1982,0,22,27.3636363636364,0.227272727272727,0.318181818181818,1.31818181818182,0,0,1,4,0,4,0,1,3,"CAF",-3
52,"Peru 1982","WC-1982","T-56","Peru","Group 1",3,0,2,1,2,6,-4,2,0,"CONMEBOL","South America",1982,3,22,28.0454545454545,0.227272727272727,0.227272727272727,1.5,0.5,2,0.545454545454545,2,0,2,0,1,2,"CONMEBOL",-3
53,"West Germany 1982","WC-1982","T-86","West Germany","Group 2",3,2,0,1,6,3,3,4,1,"UEFA","Europe",1982,7,22,26.5909090909091,0.227272727272727,0.363636363636364,1.77272727272727,0.227272727272727,1,0.772727272727273,1,0,1,0,1,6,"UEFA",-3
54,"Austria 1982","WC-1982","T-05","Austria","Group 2",3,2,0,1,3,1,2,4,1,"UEFA","Europe",1982,3,22,27.0454545454545,0.227272727272727,0.363636363636364,1.5,0.454545454545455,1,0.545454545454545,4,0,4,0,0,6,"UEFA",-3
55,"Algeria 1982","WC-1982","T-01","Algeria","Group 2",3,2,0,1,5,5,0,4,0,"CAF","Africa",1982,0,22,26.8181818181818,0.272727272727273,0.272727272727273,1.45454545454545,0,0,1,2,0,2,0,0,6,"CAF",-3
56,"Chile 1982","WC-1982","T-13","Chile","Group 2",3,0,0,3,3,8,-5,0,0,"CONMEBOL","South America",1982,5,22,28.1363636363636,0.227272727272727,0.363636363636364,1.18181818181818,0.181818181818182,2,0.863636363636364,4,0,4,0,0,0,"CONMEBOL",-3
57,"Belgium 1982","WC-1982","T-06","Belgium","Group 3",3,2,1,0,3,1,2,5,1,"UEFA","Europe",1982,3,22,27.7727272727273,0.227272727272727,0.318181818181818,1.54545454545455,0.0454545454545455,1,0.954545454545455,3,0,3,0,0,7,"UEFA",-3
58,"Argentina 1982","WC-1982","T-03","Argentina","Group 3",3,2,0,1,6,2,4,4,1,"CONMEBOL","South America",1982,6,22,27.3636363636364,0.272727272727273,0.318181818181818,2.04545454545455,0.590909090909091,2,0.5,3,0,3,0,0,6,"CONMEBOL",-3
59,"Hungary 1982","WC-1982","T-36","Hungary","Group 3",3,1,1,1,12,6,6,3,0,"UEFA","Europe",1982,5,22,28.0909090909091,0.318181818181818,0.409090909090909,1.59090909090909,0.409090909090909,1,0.590909090909091,2,0,2,0,0,4,"UEFA",-3
60,"El Salvador 1982","WC-1982","T-27","El Salvador","Group 3",3,0,0,3,1,13,-12,0,0,"CONCACAF","Central America",1982,1,20,26.55,0.25,0.35,1,0,0,1,5,0,5,0,0,0,"CONCACAF",-3
61,"England 1982","WC-1982","T-28","England","Group 4",3,3,0,0,6,1,5,6,1,"UEFA","Europe",1982,6,22,28.6818181818182,0.227272727272727,0.318181818181818,1.45454545454545,0,0,1,2,0,2,0,0,9,"UEFA",-3
62,"France 1982","WC-1982","T-30","France","Group 4",3,1,1,1,6,5,1,3,1,"UEFA","Europe",1982,5,22,27,0.272727272727273,0.318181818181818,1.86363636363636,0.454545454545455,1,0.545454545454545,2,0,2,0,0,4,"UEFA",-3
63,"Czechoslovakia 1982","WC-1982","T-21","Czechoslovakia","Group 4",3,0,2,1,2,4,-2,2,0,"UEFA","Europe",1982,4,22,28.1818181818182,0.272727272727273,0.318181818181818,1,0,0,1,2,1,3,0,0,2,"UEFA",-3
64,"Kuwait 1982","WC-1982","T-45","Kuwait","Group 4",3,0,1,2,2,6,-4,1,0,"AFC","Middle East",1982,0,22,25,0.318181818181818,0.363636363636364,1,0,0,1,3,0,3,0,1,1,"AFC",-3
65,"Northern Ireland 1982","WC-1982","T-52","Northern Ireland","Group 5",3,1,2,0,2,1,1,4,1,"UEFA","Europe",1982,1,22,27.6363636363636,0.318181818181818,0.272727272727273,1.5,0,0,1,3,1,4,0,0,5,"UEFA",-3
66,"Spain 1982","WC-1982","T-73","Spain","Group 5",3,1,1,1,3,3,0,3,1,"UEFA","Europe",1982,4,22,26.9545454545455,0.272727272727273,0.318181818181818,1.5,0.272727272727273,1,0.727272727272727,3,0,3,1,1,4,"UEFA",-3
67,"Yugoslavia 1982","WC-1982","T-87","Yugoslavia","Group 5",3,1,1,1,2,2,0,3,0,"UEFA","Europe",1982,6,22,26.4545454545455,0.272727272727273,0.318181818181818,1.22727272727273,0.136363636363636,1,0.863636363636364,3,0,3,0,0,4,"UEFA",-3
68,"Honduras 1982","WC-1982","T-35","Honduras","Group 5",3,0,2,1,2,3,-1,2,0,"CONCACAF","Central America",1982,0,22,27.5454545454545,0.227272727272727,0.318181818181818,1,0,0,1,1,1,2,0,0,2,"CONCACAF",-3
69,"Brazil 1982","WC-1982","T-09","Brazil","Group 6",3,3,0,0,10,2,8,6,1,"CONMEBOL","South America",1982,9,22,27,0.136363636363636,0.363636363636364,1.81818181818182,0.5,2,0.590909090909091,0,0,0,0,0,9,"CONMEBOL",-3
70,"Soviet Union 1982","WC-1982","T-72","Soviet Union","Group 6",3,1,1,1,6,4,2,3,1,"UEFA","Europe, Asia",1982,4,22,25.5909090909091,0.181818181818182,0.363636363636364,1.63636363636364,0,0,1,0,0,0,0,0,4,"UEFA",-3
71,"Scotland 1982","WC-1982","T-64","Scotland","Group 6",3,1,1,1,8,8,0,3,0,"UEFA","Europe",1982,4,22,27.4090909090909,0.318181818181818,0.363636363636364,1.95454545454545,0.409090909090909,2,0.681818181818182,1,0,1,0,0,4,"UEFA",-3
72,"New Zealand 1982","WC-1982","T-49","New Zealand","Group 6",3,0,0,3,2,12,-10,0,0,"OFC","Oceania",1982,0,22,26.5454545454545,0.0909090909090909,0.363636363636364,1,0,0,1,0,0,0,0,1,0,"OTHER",-3
73,"Argentina 1986","WC-1986","T-03","Argentina","Group A",3,2,1,0,6,2,4,5,1,"CONMEBOL","South America",1986,7,22,27.0454545454545,0.181818181818182,0.318181818181818,1.72727272727273,0.272727272727273,2,0.772727272727273,3,0,3,0,0,7,"CONMEBOL",-2
74,"Italy 1986","WC-1986","T-41","Italy","Group A",3,1,2,0,5,4,1,4,1,"UEFA","Europe",1986,8,22,27.6363636363636,0.272727272727273,0.318181818181818,2,0.636363636363636,2,0.545454545454545,6,0,6,0,0,5,"UEFA",-2
75,"Bulgaria 1986","WC-1986","T-10","Bulgaria","Group A",3,0,2,1,2,4,-2,2,1,"UEFA","Europe",1986,4,22,26.3181818181818,0.318181818181818,0.227272727272727,1.13636363636364,0,0,1,2,0,2,0,0,2,"UEFA",-2
